2023-09-26 01:24:35,700 | Address Debugger | DEBUG | **********
2023-09-26 01:24:35,701 | Address Debugger | DEBUG | How can I help you?
2023-09-26 01:24:35,701 | Address Debugger | DEBUG | **********
2023-09-26 01:24:35,702 | Address Debugger | DEBUG | Available commands:
2023-09-26 01:24:35,702 | Address Debugger | DEBUG | not save - Close adress book without saving
2023-09-26 01:24:35,703 | Address Debugger | DEBUG | good bye - Save changes and close address book
2023-09-26 01:24:35,703 | Address Debugger | DEBUG | close - Save changes and close address book
2023-09-26 01:24:35,704 | Address Debugger | DEBUG | hello - Hear some greeting from me
2023-09-26 01:24:35,705 | Address Debugger | DEBUG | add - Add a new record
2023-09-26 01:24:35,705 | Address Debugger | DEBUG | add phone - Add new phone to the existing record
2023-09-26 01:24:35,706 | Address Debugger | DEBUG | edit phone - Edit a phone of the existing record
2023-09-26 01:24:35,706 | Address Debugger | DEBUG | show all - Show all the records
2023-09-26 01:24:35,707 | Address Debugger | DEBUG | show some - Show some number of the records at a time
2023-09-26 01:24:35,707 | Address Debugger | DEBUG | delete phone - Delete the phone of the existing record
2023-09-26 01:24:35,707 | Address Debugger | DEBUG | delete contact - Delete record completely
2023-09-26 01:24:35,708 | Address Debugger | DEBUG | set bday - Set a BDay for the existing record
2023-09-26 01:24:35,708 | Address Debugger | DEBUG | set email - Set an email for the existing record
2023-09-26 01:24:35,709 | Address Debugger | DEBUG | set address - Set an adress for the existing record
2023-09-26 01:24:35,709 | Address Debugger | DEBUG | show bday - Show a BDay for the existing record
2023-09-26 01:24:35,710 | Address Debugger | DEBUG | show email - Show an email for the existing record
2023-09-26 01:24:35,710 | Address Debugger | DEBUG | show address - Show an address for the existing record
2023-09-26 01:24:35,712 | Address Debugger | DEBUG | find - Find record that contains ...
2023-09-26 01:24:35,712 | Address Debugger | DEBUG | help - Show full list of available commands
2023-09-26 01:24:35,712 | Address Debugger | DEBUG | bday in - Show records that have BDay in set timeframe of days
2023-09-26 01:24:35,713 | Address Debugger | DEBUG | **********
2023-09-26 01:24:46,832 | Address Debugger | DEBUG | Your list is empty!
2023-09-26 01:24:46,833 | Address Debugger | DEBUG | **********
2023-09-26 01:25:25,044 | Address Debugger | DEBUG | **********
2023-09-26 01:25:25,044 | Address Debugger | DEBUG | How can I help you?
2023-09-26 01:25:25,045 | Address Debugger | DEBUG | **********
2023-09-26 01:25:25,045 | Address Debugger | DEBUG | Available commands:
2023-09-26 01:25:25,046 | Address Debugger | DEBUG | not save - Close adress book without saving
2023-09-26 01:25:25,046 | Address Debugger | DEBUG | good bye - Save changes and close address book
2023-09-26 01:25:25,047 | Address Debugger | DEBUG | close - Save changes and close address book
2023-09-26 01:25:25,047 | Address Debugger | DEBUG | hello - Hear some greeting from me
2023-09-26 01:25:25,048 | Address Debugger | DEBUG | add - Add a new record
2023-09-26 01:25:25,049 | Address Debugger | DEBUG | add phone - Add new phone to the existing record
2023-09-26 01:25:25,049 | Address Debugger | DEBUG | edit phone - Edit a phone of the existing record
